Name	Primary Author(s)	RSS Feed URL	Access	Description	Publishing Cadence	Tags	Status	Last Post
Looking for Leverage	CJ Gustafson	https://lookingforleverage.substack.com/feed	Freemium	A weekly playbook for PE-backed CFOs and executives focused on margin expansion, value creation, and exit strategy. Tactical operator content on running profitable, leverageable businesses.	Weekly	finance, private-equity, operators, margins	Active	2025-12-10
OnlyCFO's Newsletter	OnlyCFO	https://www.onlycfo.io/feed	Freemium	Financial metrics, benchmarks, and operational breakdowns for tech companies from an anonymous finance operator. Covers SaaS efficiency, AI-native finance, and capital-markets reads—sharp, numbers-driven takes.	Weekly	finance, saas-metrics, benchmarks, operators	Active	2026-06-04
Clouded Judgement	Jamin Ball	https://cloudedjudgement.substack.com/feed	Freemium	Weekly data-driven analysis of public SaaS and cloud companies from an Altimeter investor, tracking multiples, growth, efficiency, and macro signals. The go-to for SaaS valuation and capital-markets context.	Weekly	saas, valuation, data, capital-markets	Active	2026-06-05
ByteByteGo	Alex Xu	https://blog.bytebytego.com/feed	Freemium	Explains complex system design and modern web/data architecture in simple terms with strong visuals, for 1M+ readers. Covers scalability, distributed systems, and how big tech builds infrastructure—a clear primer for technical intuition.	Weekly	system-design, engineering, architecture, ml-systems	Active	2026-06-04
MKT1 Newsletter	Emily Kramer & Kathleen Estreich	https://mkt1.substack.com/feed	Freemium	B2B marketing strategy, positioning, demand generation, and marketing-org design from former heads of marketing at Asana and Carta. Practical, template-rich frameworks for early-stage founders building GTM.	Fortnightly	b2b-marketing, gtm, positioning, startups	Active	2026-05-29
The Down Round	Patrick Mathieson	https://thedownround.substack.com/feed	Free	Candid essays on financing, scaling, and the realities of early-stage B2B software from a venture investor. Covers fundraising dynamics, valuations, and founder-VC relationships—an insider's perspective on startup capital.	Others (Irregular)	venture-capital, fundraising, b2b-saas, startups	Active	2026-05-20
Wildfire Labs	Todd Gagne	https://wildfirelabs.substack.com/feed	Freemium	Founder-operator essays on building and investing in startups, venture studios, and company-building from a serial CEO. Practical lessons on operating, scaling, and capital.	Others (Irregular)	founders, venture-studios, operating, startups	Active	2026-06-04
Innovation Unpacked (JTBD)	Mike Boysen	https://jtbd.one/feed	Freemium	Applies Jobs-to-be-Done thinking to innovation, product strategy, and growth—helping founders frame problems and markets. Deep on JTBD method and customer-centric strategy.	Others (Irregular)	jobs-to-be-done, innovation, product-strategy, growth	Active	2026-06-05
Investing in AI	Rob May	https://investinginai.substack.com/feed	Freemium	Twice-monthly AI market analysis and investing perspective from an operator who has built and funded multiple companies. Connects AI research and product trends to business and investment implications.	Fortnightly	ai, investing, strategy, markets	Active	2026-06-04
MRR Unlocked	Alexander Estner	https://www.mrrunlocked.com/feed	Freemium	Actionable tactics for scaling B2B SaaS revenue, covering growth, monetization, and go-to-market experiments. Concise, practical playbooks for early-stage founders on the path to recurring revenue.	Weekly	saas, monetization, growth, b2b	Active	2026-05-24
Micro SaaS Idea	Upendra	https://microsaasidea.substack.com/feed	Free	Surfaces and validates profitable micro-SaaS business ideas, with market analysis and build-vs-buy reasoning. Idea-generation fuel for indie founders and operators—niche, opportunity-spotting focus.	Weekly	micro-saas, ideas, bootstrapping, founders	Active	2026-02-13
